DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano notificação
UF de residência: Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins
Período:2014-2025
"Município de residência";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"293317 VARZEDO";-;2;5;12;-;-;13;7;-;-;9;239;3;290
"293320 VERA CRUZ";-;50;75;70;7;6;92;93;3;9;131;104;166;806
"293325 VEREDA";-;-;1;2;5;-;1;6;9;24;197;30;7;282
"293330 VITORIA DA CONQUISTA";-;104;470;2611;165;71;386;4196;122;455;1175;35783;2686;48224
"293340 WAGNER";-;12;6;7;-;3;114;12;1;2;4;55;127;343
"293345 WANDERLEY";-;4;49;13;289;1;50;1;1;35;68;364;19;894
"293350 WENCESLAU GUIMARAES";-;4;10;8;4;3;6;6;1;3;2;39;16;102
"293360 XIQUE-XIQUE";-;14;87;12;2;71;76;11;81;15;3;278;23;673
" MUNICIPIO IGNORADO - MG";-;-;1;-;-;-;-;-;-;-;-;1;-;2
"310010 ABADIA DOS DOURADOS";-;2;127;12;3;3;74;13;2;50;676;129;123;1214
"310020 ABAETE";-;54;149;97;2;2;68;29;3;44;547;406;4;1405
"310030 ABRE CAMPO";-;3;4;274;-;1;30;12;1;2;187;513;49;1076
"310040 ACAIACA";-;-;-;10;1;3;13;87;24;5;228;690;355;1416
"310050 ACUCENA";1;6;9;118;10;16;2;127;6;13;48;711;20;1087
"310060 AGUA BOA";-;27;4;160;3;2;135;25;1;128;34;1266;26;1811
"310070 AGUA COMPRIDA";-;1;22;53;3;4;22;12;-;33;34;197;357;738
"310080 AGUANIL";-;17;3;6;2;3;4;31;2;6;19;859;38;990
"310090 AGUAS FORMOSAS";1;37;19;226;21;2;119;207;14;13;564;705;42;1970
"310100 AGUAS VERMELHAS";-;7;67;9;29;3;9;20;-;5;3;75;7;234
"310110 AIMORES";-;17;280;200;57;14;110;72;19;6;233;321;79;1408
"310120 AIURUOCA";-;-;-;1;-;-;-;-;-;-;-;148;2;151
"310130 ALAGOA";-;-;-;3;-;-;-;1;-;-;1;18;2;25
"310140 ALBERTINA";-;1;10;2;1;-;4;-;-;-;1;37;29;85
"310150 ALEM PARAIBA";-;2;324;1604;3;7;12;35;93;29;736;2308;320;5473
"310160 ALFENAS";-;270;2357;3933;35;126;625;1036;11;403;269;11717;197;20979
"310163 ALFREDO VASCONCELOS";-;-;1;7;-;1;3;1;-;-;3;651;11;678
"310170 ALMENARA";-;50;27;54;138;2;143;150;5;224;79;310;2;1184
"310180 ALPERCATA";-;12;9;-;22;-;19;53;5;12;110;200;11;453
"310190 ALPINOPOLIS";-;28;27;239;1;2;157;16;10;14;320;978;55;1847
"310200 ALTEROSA";-;4;13;114;13;5;12;23;1;25;199;1242;241;1892
"310205 ALTO CAPARAO";-;-;1;2;-;-;-;1;-;1;25;241;3;274
"310210 ALTO RIO DOCE";-;-;1;2;-;1;3;-;-;-;188;474;3;672
"310220 ALVARENGA";-;4;22;150;3;14;258;41;2;2;399;156;9;1060
"310230 ALVINOPOLIS";-;9;19;175;6;15;297;10;3;4;688;1373;508;3107
"310240 ALVORADA DE MINAS";-;-;4;6;-;-;6;8;1;-;9;822;21;877
"310250 AMPARO DO SERRA";-;1;-;10;-;1;6;21;-;-;135;32;55;261
"310260 ANDRADAS";-;21;851;88;2;2;34;29;-;35;10;6509;734;8315
"310270 CACHOEIRA DE PAJEU";-;3;4;63;5;-;1;25;-;228;38;484;26;877
"310280 ANDRELANDIA";-;-;20;8;1;-;3;37;-;2;1;610;8;690
"310285 ANGELANDIA";-;-;-;12;1;-;46;1;-;67;14;677;19;837
"310290 ANTONIO CARLOS";-;-;-;32;1;-;3;3;1;1;5;830;47;923
"310300 ANTONIO DIAS";-;1;3;128;2;31;24;6;5;7;136;179;43;565
"310310 ANTONIO PRADO DE MINAS";-;2;1;13;-;-;4;2;1;-;24;15;11;73
"310320 ARACAI";-;1;13;168;-;1;22;5;1;1;43;116;1;372
"310330 ARACITABA";-;-;1;12;-;1;1;-;-;3;-;276;3;297
"310340 ARACUAI";-;75;520;377;130;39;236;824;60;599;1219;2576;10;6665
"310350 ARAGUARI";-;145;1379;1446;27;57;2741;241;103;548;2967;13102;1659;24415
"310360 ARANTINA";-;-;2;4;-;-;2;1;-;-;-;277;7;293
"310370 ARAPONGA";-;1;-;6;-;-;3;1;-;1;7;68;2;89
"310375 ARAPORA";-;58;164;29;22;48;102;22;77;363;179;409;211;1684
"310380 ARAPUA";-;25;1;3;-;1;43;1;3;7;44;752;20;900
"310390 ARAUJOS";-;287;186;230;6;60;152;108;25;44;896;1227;116;3337
"310400 ARAXA";-;228;1533;3985;28;81;1185;152;28;1369;1215;9547;3121;22472
"310410 ARCEBURGO";-;16;688;12;2;7;91;102;5;6;280;261;102;1572
